"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[폭스바겐] CC 2.0 TSI",6014,48조5631,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2509%2FD250900104%2FD250900104_02_03.jpg%3F20250909161238&type=m&w=800&h=500&quality=90&ttype=jpg,117265,570,"[폭스바겐] CC 2.0 TSI",A/T,2015,"현대 경매장",WVWZZZ3CZFE816039,"A / 7"
"[벤츠] S클래스(6세대) S500L 4매틱",6015,47다2035,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2509%2FD250900274%2FD250900274_02_03.jpg%3F20250910093400&type=m&w=800&h=500&quality=90&ttype=jpg,145250,2310,"[벤츠] S클래스(6세대) S500L 4매틱",A/T,2015,"현대 경매장",WDDUG8FB6FA102335,"A / 6"
"[테슬라] 모델 3 EV AWD 롱 레인지",6016,67고9489,,전기,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2508%2FD250802144%2FD250802144_02_03.jpg%3F20250910121648&type=m&w=800&h=500&quality=90&ttype=jpg,142453,2380,"[테슬라] 모델 3 EV AWD 롱 레인지",A/T,2020,"현대 경매장",5YJ3E1EBXLF648711,"B / 3"
"[폭스바겐] 뉴투아렉(2세대) 3.0 V6 TDI 블루모션",6017,56가5837,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2508%2FD250802376%2FD250802376_02_03.jpg%3F20250909164210&type=m&w=800&h=500&quality=90&ttype=jpg,88532,1080,"[폭스바겐] 뉴투아렉(2세대) 3.0 V6 TDI 블루모션",A/T,2014,"현대 경매장",WVGZZZ7PZED017678,"A / 5"
"[아우디] Q7(2세대) 45 TFSI 콰트로",6018,388어1440,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2509%2FD250900702%2FD250900702_02_03.jpg%3F20250910141618&type=m&w=800&h=500&quality=90&ttype=jpg,159014,1930,"[아우디] Q7(2세대) 45 TFSI 콰트로",A/T,2019,"현대 경매장",WAUZZZ4M8KD041435,"A / 4"
"[벤츠] E클래스(4세대) E250 CDI 블루텍 4매틱 아방가르드",6019,42저0868,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2509%2FD250900849%2FD250900849_02_03.jpg%3F20250910144749&type=m&w=800&h=500&quality=90&ttype=jpg,161658,910,"[벤츠] E클래스(4세대) E250 CDI 블루텍 4매틱 아방가르드",A/T,2016,"현대 경매장",WDDHF9HB6GB318155,"B / 2"
"[BMW] 5시리즈(6세대) 528i xDrive",6020,68러6799,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2509%2FD250900572%2FD250900572_02_03.jpg%3F20250910145547&type=m&w=800&h=500&quality=90&ttype=jpg,150489,850,"[BMW] 5시리즈(6세대) 528i xDrive",A/T,2015,"현대 경매장",WBA5A7105FD816016,"A / 6"
"[랜드로버] 레인지로버 이보크 2.0 TD4 HSE",6021,37보0140,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2507%2FD250706150%2FD250706150_02_03.jpg%3F20250910134447&type=m&w=800&h=500&quality=90&ttype=jpg,121642,925,"[랜드로버] 레인지로버 이보크 2.0 TD4 HSE",A/T,2017,"현대 경매장",SALVA2BN1HH192882,"B / 4"
"[아우디] Q5(2세대) 45 TFSI 콰트로 프리미엄",6022,212오3124,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2509%2FD250900442%2FD250900442_02_03.jpg%3F20250910125814&type=m&w=800&h=500&quality=90&ttype=jpg,42575,5315,"[아우디] Q5(2세대) 45 TFSI 콰트로 프리미엄",A/T,2022,"현대 경매장",WAUZZZFY0N2056317,"A / 7"
"[재규어] XF(2세대) 2.0 20d 프레스티지",6023,110주6747,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F5100%2Fcarimg%2F2509%2FD250900823%2FD250900823_02_03.jpg%3F20250910142627&type=m&w=800&h=500&quality=90&ttype=jpg,137886,470,"[재규어] XF(2세대) 2.0 20d 프레스티지",A/T,2018,"현대 경매장",SAJBB4BN6JCY61283,"A / 6"
