"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"[BMW] 그란투리스모(GT) 3시리즈 GT 320d xDrive",5047,04조0801,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250901055%2FA250901055_02_03.jpg%3F20250908132227&type=m&w=800&h=500&quality=90&ttype=jpg,184557,800,"[BMW] 그란투리스모(GT) 3시리즈 GT 320d xDrive",A/T,2015,"현대 경매장",WBA3Y5109FD952365,"A / 7"
"[미니] 컨트리맨 2.0 D SE",5048,34오8496,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250901068%2FA250901068_02_03.jpg%3F20250908132708&type=m&w=800&h=500&quality=90&ttype=jpg,129568,265,"[미니] 컨트리맨 2.0 D SE",A/T,2014,"현대 경매장",WMWXD3102EWP97338,"A / 5"
"[미니] 쿠퍼(2세대) 1.6 오리지널",5049,47소4350,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900834%2FA250900834_02_03.jpg%3F20250908165852&type=m&w=800&h=500&quality=90&ttype=jpg,134260,265,"[미니] 쿠퍼(2세대) 1.6 오리지널",A/T,2013,"현대 경매장",WMWSU310XDT620093,"A / 4"
"[BMW] X5(2세대) 30d xDrive",5050,24노8618,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900503%2FA250900503_02_03.jpg%3F20250908155142&type=m&w=800&h=500&quality=90&ttype=jpg,221431,460,"[BMW] X5(2세대) 30d xDrive",A/T,2009,"현대 경매장",WBAFF41069L135507,"A / 6"
"[미니] 쿠퍼(2세대) 1.6 SE",5051,32노2378,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900638%2FA250900638_02_03.jpg%3F20250908154536&type=m&w=800&h=500&quality=90&ttype=jpg,133164,260,"[미니] 쿠퍼(2세대) 1.6 SE",A/T,2011,"현대 경매장",WMWSU3104BT201167,"A / 1"
"[미니] 컨트리맨 1.6",5052,22버3769,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900934%2FA250900934_02_03.jpg%3F20250908182145&type=m&w=800&h=500&quality=90&ttype=jpg,129337,355,"[미니] 컨트리맨 1.6",A/T,2012,"현대 경매장",WMWZB3109CWL06985,"A / 8"
"[미니] 컨트리맨(2세대) 1.5",5053,174조3663,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802425%2FA250802425_02_03.jpg%3F20250908160817&type=m&w=800&h=500&quality=90&ttype=jpg,83621,1160,"[미니] 컨트리맨(2세대) 1.5",A/T,2020,"현대 경매장",WMWYX3107L3L94207,"A / 5"
"[마세라티] 기블리(3세대) 3.0S Q4",5054,145무4874,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900990%2FA250900990_02_03.jpg%3F20250908143909&type=m&w=800&h=500&quality=90&ttype=jpg,124167,1700,"[마세라티] 기블리(3세대) 3.0S Q4",A/T,2017,"현대 경매장",ZAM57RTG1H1228749,"A / 5"
"[볼보] XC90(1세대) D5",5055,58우5933,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900933%2FA250900933_02_03.jpg%3F20250908135200&type=m&w=800&h=500&quality=90&ttype=jpg,425802,150,"[볼보] XC90(1세대) D5",A/T,2012,"현대 경매장",YV1CT30K6C1628024,"A / 5"
"[시트로엥] C4 칵투스 1.6 BlueHDi 라이브",5056,53마0441,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900966%2FA250900966_02_03.jpg%3F20250908135233&type=m&w=800&h=500&quality=90&ttype=jpg,111754,290,"[시트로엥] C4 칵투스 1.6 BlueHDi 라이브",A/T,2017,"현대 경매장",VF70BBHYHHE500724,"A / 3"
"[벤츠] GLS클래스(3세대) GLS 450d 4매틱",5024,241더6565,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900049%2FA250900049_02_03.jpg%3F20250901154645&type=m&w=800&h=500&quality=90&ttype=jpg,15844,14100,"[벤츠] GLS클래스(3세대) GLS 450d 4매틱",A/T,2024,"현대 경매장",W1NFF3DE1RB243293,"A / 9"
"[BMW] 5시리즈(7세대) 520d 럭셔리 라인플러스",5025,133하1321,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900086%2FA250900086_02_03.jpg%3F20250901183208&type=m&w=800&h=500&quality=90&ttype=jpg,96661,2350,"[BMW] 5시리즈(7세대) 520d 럭셔리 라인플러스",A/T,2020,"현대 경매장",WBAJF3107LCD50649,"A / 7"
"[BMW] 5시리즈(6세대) 523i",5026,07저0734,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802513%2FA250802513_02_03.jpg%3F20250828094946&type=m&w=800&h=500&quality=90&ttype=jpg,134562,380,"[BMW] 5시리즈(6세대) 523i",A/T,2010,"현대 경매장",WBAFP3107AC256350,"F / 1"
"[폭스바겐] 더 뉴파사트(7세대) 2.0 TDI",5027,11주2293,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2508%2FA250802947%2FA250802947_02_03.jpg%3F20250827164429&type=m&w=800&h=500&quality=90&ttype=jpg,146330,500,"[폭스바겐] 더 뉴파사트(7세대) 2.0 TDI",A/T,2015,"현대 경매장",1VWZZZA3ZFC091255,"A / 5"
"[벤츠] E클래스(5세대) E300 아방가르드 나이트팩",5028,08노0131,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900747%2FA250900747_02_03.jpg%3F20250908102735&type=m&w=800&h=500&quality=90&ttype=jpg,150453,1800,"[벤츠] E클래스(5세대) E300 아방가르드 나이트팩",A/T,2017,"현대 경매장",WDDZF4JB0HA045822,"A / 4"
"[미니] 쿠퍼(2세대) 1.6 S",5029,40가0300,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900738%2FA250900738_02_03.jpg%3F20250908130018&type=m&w=800&h=500&quality=90&ttype=jpg,109033,130,"[미니] 쿠퍼(2세대) 1.6 S",A/T,2009,"현대 경매장",WMWMF710X9TU90401,"A / 1"
"[포드] 익스플로러(5세대) 3.5 V6 4WD 리미티드",5030,35가1575,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900669%2FA250900669_02_03.jpg%3F20250908105112&type=m&w=800&h=500&quality=90&ttype=jpg,115614,535,"[포드] 익스플로러(5세대) 3.5 V6 4WD 리미티드",A/T,2011,"현대 경매장",1FMHK8F86BGA29078,"A / 1"
"[벤츠] E클래스(5세대) E250 AMG 라인",5031,125호7235,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900480%2FA250900480_02_03.jpg%3F20250905132817&type=m&w=800&h=500&quality=90&ttype=jpg,47945,4150,"[벤츠] E클래스(5세대) E250 AMG 라인",A/T,2023,"현대 경매장",W1KZF4FBXPB103100,"A / 8"
"[혼다] 시빅(8세대) 1.8",5032,48주2293,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900742%2FA250900742_02_03.jpg%3F20250908095431&type=m&w=800&h=500&quality=90&ttype=jpg,168150,250,"[혼다] 시빅(8세대) 1.8",A/T,2010,"현대 경매장",JHMFD1620AS201386,"A / 2"
"[벤츠] E클래스(4세대) E300 엘레강스",5033,15모9544,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900844%2FA250900844_02_03.jpg%3F20250905112027&type=m&w=800&h=500&quality=90&ttype=jpg,135814,540,"[벤츠] E클래스(4세대) E300 엘레강스",A/T,2010,"현대 경매장",WDDHF5EB6AA130312,"A / 5"
"[BMW] 5시리즈(6세대) 528i",5034,13무3649,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900825%2FA250900825_02_03.jpg%3F20250905133733&type=m&w=800&h=500&quality=90&ttype=jpg,86375,900,"[BMW] 5시리즈(6세대) 528i",A/T,2014,"현대 경매장",WBA5A5102ED015711,"A / 4"
"[재규어] F-PACE 2.0 20d AWD 포트폴리오",5035,59조9269,,경유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900570%2FA250900570_02_03.jpg%3F20250908110746&type=m&w=800&h=500&quality=90&ttype=jpg,158544,1005,"[재규어] F-PACE 2.0 20d AWD 포트폴리오",A/T,2018,"현대 경매장",SADCA2BN1JA266884,"A / 4"
"[BMW] M3(4세대) M3 쿠페 [BMW] BMW M3 E92 쿠페",5036,46머9361,,휘발유,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900285%2FA250900285_02_03.jpg%3F20250905162607&type=m&w=800&h=500&quality=90&ttype=jpg,174339,1575,"[BMW] M3(4세대) M3 쿠페 [BMW] BMW M3 E92 쿠페",A/T,2009,"현대 경매장",WBSWD91079P304246,"A / 2"
"[볼보] XC40 2.0 B4 AWD 얼티메이트 브라이트 [볼보] 얼티메이트 브라이트 다크에디션",5037,349구1379,,하이브리드,https://img-auction.autobell.co.kr/OBmZCjL58I?src=https%3A%2F%2Fauction.autobell.co.kr%2FFileUpDown%2F1100%2Fcarimg%2F2509%2FA250900706%2FA250900706_02_03.jpg%3F20250908095417&type=m&w=800&h=500&quality=90&ttype=jpg,5764,3885,"[볼보] XC40 2.0 B4 AWD 얼티메이트 브라이트 [볼보] 얼티메이트 브라이트 다크에디션",A/T,2024,"현대 경매장",YV1XZK924R2328618,"A / 6"
