"Post Title",sell_number,car_number,color,fuel,image,km,price,title,trans,year,auction_name,vin,score
"기아 쏘렌토 R (09년~12년) 디젤 2.0 2WD TLX 최고급형",3693,12러8193,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240382/AT176403124100472_M.jpg,270313,290,"기아 쏘렌토 R (09년~12년) 디젤 2.0 2WD TLX 최고급형",은색,2010,"오토허브 경매장",,BC
"현대 쏘나타 디 엣지(DN8)(23년~현재) LPG 2000cc 비즈니스1(렌터카용)",3694,389주6965,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511250030/AT176403580630406_M.jpg,31930,2130,"현대 쏘나타 디 엣지(DN8)(23년~현재) LPG 2000cc 비즈니스1(렌터카용)",기타,2024,"오토허브 경매장",,BB
"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 모던",3695,149하9148,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240230/AT1764031708633mh_M.jpg,133588,1050,"현대 아반떼 (CN7)(20년~현재) 가솔린 1600cc 모던",흰색,2022,"오토허브 경매장",,CC
"현대 쏘나타 디 엣지(DN8)(23년~현재) LPG 2000cc 비즈니스1(렌터카용)",3696,389주6913,오토,렌터카,image,38123,2110,"현대 쏘나타 디 엣지(DN8)(23년~현재) LPG 2000cc 비즈니스1(렌터카용)",기타,2024,"오토허브 경매장",,AB
"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 프레스티지",3697,149호2757,오토,렌터카,image,164502,1820,"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 프레스티지",검정,2021,"오토허브 경매장",,BC
"현대 더 뉴 그랜드 스타렉스 12인승 디젤 2WD 스마트",3698,72하5518,오토,렌터카,image,238746,1280,"현대 더 뉴 그랜드 스타렉스 12인승 디젤 2WD 스마트",검정,2021,"오토허브 경매장",,CB
"기아 K5 3세대(19년~현재 LPI 2.0 프레스티지",3699,244무1756,오토,렌터카,image,147066,1250,"기아 K5 3세대(19년~현재 LPI 2.0 프레스티지",기타,2022,"오토허브 경매장",,BC
"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 프레스티지",3700,156호3308,오토,렌터카,image,192105,1820,"기아 카니발 4세대(20년~현재) 디젤 2200cc 9인승 프레스티지",검정,2021,"오토허브 경매장",,BB
"현대 더 뉴 그랜져 IG 가솔린2500cc 프리미엄 초이스",3701,265다3219,오토,자가용,image,98842,1520,"현대 더 뉴 그랜져 IG 가솔린2500cc 프리미엄 초이스",기타,2020,"오토허브 경매장",,CB
"현대 쏘나타 디 엣지(DN8)(23년~현재) LPG 2000cc 비즈니스1(렌터카용)",3702,389주6935,오토,렌터카,image,32614,2030,"현대 쏘나타 디 엣지(DN8)(23년~현재) LPG 2000cc 비즈니스1(렌터카용)",기타,2024,"오토허브 경매장",,BB
"현대 NF 쏘나타 트랜스폼 (07년~12년) N20 프리미어 블랙 최고급형",3703,37가5929,오토,자가용,image,147846,200,"현대 NF 쏘나타 트랜스폼 (07년~12년) N20 프리미어 블랙 최고급형",검정,2008,"오토허브 경매장",,BC
"지프 컴패스 2.4 리미티드 2세대 (18년~현재)",3705,52모4810,오토,자가용,image,342270,350,"지프 컴패스 2.4 리미티드 2세대 (18년~현재)",기타,2018,"오토허브 경매장",,AC
"현대 그랜드 스타렉스 (07년~현재) 2WD 12인승 왜건 스마트",3674,740거6205,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511210162/AT1763969596195l2_M.jpg,164775,860,"현대 그랜드 스타렉스 (07년~현재) 2WD 12인승 왜건 스마트",기타,2018,"오토허브 경매장",,CC
"제네시스 EQ900(15년~현재) 3.8 GDI AWD 프리미엄 럭셔리",3675,28머1250,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240077/AT1763973395640x3_M.jpg,228446,1150,"제네시스 EQ900(15년~현재) 3.8 GDI AWD 프리미엄 럭셔리",기타,2018,"오토허브 경매장",,BB
"혼다 시빅 1.8 8세대 (06년~11년)",3676,41고4204,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240256/AT1763969993215wa_M.jpg,156243,180,"혼다 시빅 1.8 8세대 (06년~11년)",흰색,2009,"오토허브 경매장",,BD
"현대 쏘나타 더 브릴리언트 (12년~16년) LPG 스타일 렌터카",3677,22도8832,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240207/AT176397245743521_M.jpg,172554,250,"현대 쏘나타 더 브릴리언트 (12년~16년) LPG 스타일 렌터카",기타,2013,"오토허브 경매장",,CB
"기아 더 뉴 카니발(18년~현재) 디젤 9인승 노블레스",3678,19저1402,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240267/AT176396997231566_M.jpg,267380,980,"기아 더 뉴 카니발(18년~현재) 디젤 9인승 노블레스",검정,2019,"오토허브 경매장",,AC
"현대 투싼(NX4)(20년~23년) 가솔린1.6 2WD 프리미엄",3679,179도4063,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240298/AT176397253565853_M.jpg,21514,2470,"현대 투싼(NX4)(20년~23년) 가솔린1.6 2WD 프리미엄",흰색,2021,"오토허브 경매장",,BB
"기아 더 뉴 레이 가솔린 1000cc 프레스티지",3680,149호2421,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240270/AT1763970957304c5_M.jpg,93877,900,"기아 더 뉴 레이 가솔린 1000cc 프레스티지",기타,2021,"오토허브 경매장",,AC
"포드 익스플로러 2.3 에코부스트 4WD 리미티드",3681,01오6550,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240199/AT17639731740577a_M.jpg,174019,750,"포드 익스플로러 2.3 에코부스트 4WD 리미티드",기타,2017,"오토허브 경매장",,BC
"기아 K5 3세대(19년~현재 가솔린 1.6 터보 프레스티지",3682,224루5284,오토,렌터카,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240152/AT1763970725419u7_M.jpg,52690,1990,"기아 K5 3세대(19년~현재 가솔린 1.6 터보 프레스티지",흰색,2022,"오토허브 경매장",,BB
"벤츠 E-클래스 W213(16년~현재) E200 아방가르드",3683,326마6584,오토,자가용,http://www.sellcarauction.co.kr/AJSCIMG/upload/upload_file/INSPECT/2025/202511/IP202511240189/AT176397343409460_M.jpg,203185,1350,"벤츠 E-클래스 W213(16년~현재) E200 아방가르드",흰색,2018,"오토허브 경매장",,BB
